,company_name,paper_url,authors,title,description,excluded_tags,author_name,exclusion_reason
104,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:HkunuPqSaCsC,"Joshua Lockhart, Samuel Assefa, Tucker Balch, Manuela Veloso",some people aren't worth listening to: periodically retraining classifiers with feedback from a team of end users,"Document classification is ubiquitous in a business setting, but often the end users of a classifier are engaged in an ongoing feedback-retrain loop with the team that maintain it. We consider this feedback-retrain loop from a multi-agent point of view, considering the end users as autonomous agents that provide feedback on the labelled data provided by the classifier. This allows us to examine the effect on the classifier's performance of unreliable end users who provide incorrect feedback. We demonstrate a classifier that can learn which users tend to be unreliable, filtering their feedback out of the loop, thus improving performance in subsequent iterations.",,,['no_author_name']
105,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:HmWvvuJwtxYC,"Aaron M Roth, Umang Bhatt, Tamara Amin, Afsaneh Doryab, Fei Fang, Manuela Veloso",the impact of humanoid affect expression on human behavior in a game-theoretic setting,"With the rapid development of robot and other intelligent and autonomous agents, how a human could be influenced by a robot's expressed mood when making decisions becomes a crucial question in human-robot interaction. In this pilot study, we investigate (1) in what way a robot can express a certain mood to influence a human's decision making behavioral model; (2) how and to what extent the human will be influenced in a game theoretic setting. More specifically, we create an NLP model to generate sentences that adhere to a specific affective expression profile. We use these sentences for a humanoid robot as it plays a Stackelberg security game against a human. We investigate the behavioral model of the human player.",,,['no_author_name']
106,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:ITz7TVZQ0sgC,"Tiago Pereira, António Moreira, Manuela Veloso",improving heuristics of optimal perception planning using visibility maps,"In this paper we consider the problem of motion planning for perception of a target position. A robot has to move to a position from where it can sense the target, while minimizing both motion and perception costs. The problem of finding paths for robots executing perception tasks can be solved optimally using informed search. In perception path planning, the solution for the perception task considering a straight line without obstacles is used as heuristic. In this work, we propose a heuristic that can improve the search efficiency. In order to improve the node expansion using a more informed search, we use the robot Approximate Visibility Map (A-VM), which is used as a representation of the observability capability of a robot in a given environment. We show how the critical points used in A-VM provide information on the geometry of the environment, which can be used to improve the heuristic, increasing the search …",,,['no_author_name']
107,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:IaRkJ05COeQC,"Natraj Raman, Sameena Shah, Manuela Veloso",synthetic document generator for annotation-free layout recognition,"Analyzing the layout of a document to identify headers, sections, tables, figures etc. is critical to understanding its content. Deep learning based approaches for detecting the layout structure of document images have been promising. However, these methods require a large number of annotated examples during training, which are both expensive and time consuming to obtain. We describe here a synthetic document generator that automatically produces realistic documents with labels for spatial positions, extents and categories of the layout elements. The proposed generative process treats every physical component of a document as a random variable and models their intrinsic dependencies using a Bayesian Network graph. Our hierarchical formulation using stochastic templates allow parameter sharing between documents for retaining broad themes and yet the distributional characteristics produces visually …",,,['no_author_name']
108,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:InLRhUNj-rwC,Manuela Veloso,ai for intelligent financial services: examples and discussion,"There are many opportunities to pursue AI and ML in the financial domain. In this talk, I will overview several research directions we are pursuing in engagement with the lines of business, ranging from data and knowledge, learning from experience, reasoning and planning, multi agent systems, and secure and private AI. I will offer concrete examples of projects, and conclude with the many challenges and opportunities that AI can offer in the financial domain.",,,['no_author_name']
109,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:Iq19BMNozs4C,"José Carlos González Dorado, Manuela Veloso, Fernando Fernández Rebollo, Ángel García Olaya",task monitoring and rescheduling for opportunity and failure management,"The CoBot robots, as other service robots, autonomously navigate in building environments performing different types of tasks that include item transportation and person guiding between locations. The CoBots can execute their planned routes, localize in the environment, avoid obstacles, and ask for help to humans to overcome their actuation limitations. However, they were not able to handle high-level unexpected events during execution, such as interruptions with new task requests that may need a careful analysis of rescheduling trade-offs. Unexpected events can be failures if their influence is on the pending tasks or opportunities if it is on the robot expectations. This work presents a new task-execution, monitoring, and rescheduling architecture, which includes a representation of new task features to be monitored to detect failures and opportunities, as well as a task scheduler to evaluate time and task features constraints. We demonstrate the new features in a task that needs to deliver hot coffee at some time, noting that the coffee gets cold with interruption delays.",,,['no_author_name']
110,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:J-ba04ztB30C,"Franz Franchetti, Tze Meng Low, Stefan Mitsch, Juan Pablo Mendoza, Liangyan Gui, Amarin Phaosawasdi, David Padua, Soummya Kar, Jose MF Moura, Michael Franusich, Jeremy Johnson, Andre Platzer, Manuela M Veloso",high-assurance spiral: end-to-end guarantees for robot and car control,"Cyber-physical systems (CPSs), ranging from critical infrastructures such as power plants, to modern (semi) autonomous vehicles, are systems that use software to control physical processes. CPSs are made up of many different computational components. Each component runs its own piece of software that implements its control algorithms, based on its model of the environment. Every component then interacts with other components through the signals and values it sends out. Collectively, these components, and the code they run, drive the complex behaviors modern society has come to expect and rely on. Due to these intricate interactions between components, managing the hundreds to millions of lines of software to ensure that the system, as a whole, performs as desired can often be unwieldy.",,,['no_author_name']
111,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:J6OZcwVsj5AC,"Juan Pablo Mendoza, Joydeep Biswas, Danny Zhu, Richard Wang, Philip Cooksey, Steven Klee, Manuela Veloso",cmdragons 2015: coordinated offense and defense of the ssl champions," The CMDragons Small Size League (SSL) team won all of its 6 games at RoboCup 2015, scoring a total of 48 goals and conceding 0. This paper presents the core coordination algorithms in offense and defense that enabled such successful performance. We first describe the coordinated plays layer that distributes the team’s robots into offensive and defensive subteams. We then describe the offense and defense coordination algorithms to control these subteams. Effective coordination enables our robots to attain a remarkable level of team-oriented gameplay, persistent offense, and reliability during regular gameplay, shifting our strategy away from stopped ball plays. We support these statements and the effectiveness of our algorithms with statistics from our performance at RoboCup 2015.",,,"['no_tags', 'no_author_name']"
112,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:JVJ6OkSwpHsC,"Yufei Wu, Mahmoud Mahfouz, Daniele Magazzeni, Manuela Veloso",how robust are limit order book representations under data perturbation,"The success of machine learning models in the financial domain is highly reliant on the quality of the data representation. In this paper, we focus on the representation of limit order book data and discuss the opportunities and challenges for learning representations of such data. We also experimentally analyse the issues associated with existing representations and present a guideline for future research in this area.",,,['no_author_name']
114,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:KKBjqD86ppkC,"Rongye Shi, Peter Steenkiste, Manuela Veloso",second-order destination inference using semi-supervised self-training for entry-only passenger data,"Automated data collection in urban transportation systems produces a large volume of passenger data. However, quite a few of the data are still incomplete, limiting the insight into passenger mobility. The unavailability of destination information in entry-only passenger data is a very common issue. Traditional approaches for estimating passenger destinations rely on heuristics that can recover only some of the missing destinations. To deal with the remaining incomplete data, this paper, for the first time, proposes a second-order inference methodology to leverage semi-supervised self-training to infer the missing destinations. The methodology involves the design of a base learner to predict the missing destinations based on the statistics of a selected similarity-based ""training set"", and the design of a selection strategy to select new data with high prediction confidence to update the training set. To further improve the …",,,['no_author_name']
115,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:KqnX2w3egDsC,"Tekin Meriçli, Manuela Veloso, H Levent Akın",push-manipulation of complex passive mobile objects using experimentally acquired motion models," In a realistic mobile push-manipulation scenario, it becomes non-trivial and infeasible to build analytical models that will capture the complexity of the interactions between the environment, each of the objects, and the robot as the variety of objects to be manipulated increases. We present an experience-based push-manipulation approach that enables the robot to acquire experimental models regarding how pushable real world objects with complex 3D structures move in response to various pushing actions. These experimentally acquired models can then be used either (1) for trying to track a collision-free guideline path generated for the object by reiterating pushing actions that result in the best locally-matching object trajectories until the goal is reached, or (2) as building blocks for constructing achievable push plans via a Rapidly-exploring Random Trees variant planning algorithm we contribute and …",,,['no_author_name']
116,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:KsTgnNRry18C,"Guglielmo Gemignani, Steven D Klee, Manuela M Veloso, Daniele Nardi",on task recognition and generalization in long-term robot teaching,"Several research efforts address the challenge of having users incrementally teach or demonstrate a task to a robot. We are interested in an autonomous robot that persists over time and the problem of teaching it an additional task. We believe that the assumption that a user would know all the tasks previously taught to the robot does not hold. We hence investigate the problem of recognizing when a user is teaching a task similar to one the robot already knows and performing task autocompletion. In this extended abstract, we briefly discuss our approach, and report the results of an experiment run with human teachers.",,,['no_author_name']
117,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:Lpa4s8qvUTIC,"Aaron M Roth, Samantha Reig, Umang Bhatt, Jonathan Shulgach, Tamara Amin, Afsaneh Doryab, Fei Fang, Manuela Veloso",a robot’s expressive language affects human strategy and perceptions in a competitive game,"As robots are increasingly endowed with social and communicative capabilities, they will interact with humans in more settings, both collaborative and competitive. We explore human-robot relationships in the context of a competitive Stackelberg Security Game. We vary humanoid robot expressive language (in the form of “encouraging” or “discouraging” verbal commentary) and measure the impact on participants' rationality, strategy prioritization, mood, and perceptions of the robot. We learn that a robot opponent that makes discouraging comments causes a human to play a game less rationally and to perceive the robot more negatively. We also contribute a simple open source Natural Language Processing framework for generating expressive sentences, which was used to generate the speech of our autonomous social robot.",,,['no_author_name']
118,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:M3hCyctIOBoC,"Parisa Hassanzadeh, Danial Dervovic, Samuel Assefa, Prashant Reddy, Manuela Veloso",tradeoffs in streaming binary classification under limited inspection resources,"Institutions are increasingly relying on machine learning models to identify and alert on abnormal events, such as fraud, cyber attacks and system failures. These alerts often need to be manually investigated by specialists. Given the operational cost of manual inspections, the suspicious events are selected by alerting systems with carefully designed thresholds. In this paper, we consider an imbalanced binary classification problem, where events arrive sequentially and only a limited number of suspicious events can be inspected. We model the event arrivals as a non-homogeneous Poisson process, and compare various suspicious event selection methods including those based on static and adaptive thresholds. For each method, we analytically characterize the tradeoff between the minority-class detection rate and the inspection capacity as a function of the class imbalance and the classifier confidence score …",,,['no_author_name']
119,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:MUocvVTjX6cC,"Steven D Klee, M Veloso, CM Dias",interactive language-based task library instruction and management for single and multiple robots,"Robots acquire behaviors to perform tasks, in general by being programmed, or occasionally by being instructed through demonstrations. In this thesis, we address the challenge of providing task behaviors to a robot through language instructions and interactions.We consider robots equipped with built-in motion and perception primitives with their functionality known to the user. We contribute Instruction Graphs, a robot task representation for composing sequences, conditionals, and loops of robot primitives. Instruction Graphs are only robot-primitive dependent, therefore applying to any robot hardware platform. We present the process by which Instruction Graphs are incrementally created from language instructions, as well as the method to execute Instruction Graphs on robots. We present examples and demonstrations of acquired Instruction Graphs with our CoBot mobile service robot and our Baxter manipulator robot.",,,['no_author_name']
120,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:MqTxh1vmwXEC,"Manuela Veloso, Joydeep Biswas, Brian Coltin, Stephanie Rosenthal",cobots: robust symbiotic autonomous mobile service robots,"We research and develop autonomous mobile service robots as Collaborative Robots, ie, CoBots. For the last three years, our four CoBots have autonomously navigated in our multi-floor office buildings for more than 1,000 km, as the result of the integration of multiple perceptual, cognitive, and actuations representations and algorithms. In this paper, we identify a few core aspects of our CoBots underlying their robust functionality. The reliable mobility in the varying indoor environments comes from a novel episodic non-Markov localization. Servive tasks requested by users are the input to a scheduler that can consider different types of constraints, including transfers among multiple robots. With symbiotic autonomy, the CoBots proactively seek external sources of help to fill-in for their inevitable occasional limitations. We present sampled results from a deployment and conclude with a brief review of other features of our service robots.",,,['no_author_name']
122,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:MtS25d97-7AC,"Philip Cooksey, Manuela Veloso",a rationale-driven team plan representation for autonomous intra-robot replanning*,"For autonomous multi-robot teams, the individual team members are tasked with completing their assigned tasks as defined by a team plan provided by a centralized team planner. However in complex dynamic domains, the team plans are generated by the team planner with assumptions due to the complexity of modeling the domain. Failures in execution are therefore inevitable for the team members, and as such, replanning will occur for the team. In this paper, we introduce a rationale-driven team plan representation that provides rationales on why actions were chosen by the team planner. During a failure, the individual team members autonomously use our described intra-robot replanning algorithm to select all applicable replan policies for a given rationale. We then describe a method to learn the predicted cost of each replan policy, given a state of the environment, in order for the individual robots to select the …",,,['no_author_name']
123,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:N2osnxbUuuUC,"Kim Baraka, Marta Couto, Francisco S Melo, Ana Paiva, Manuela Veloso",“sequencing matters”: investigating suitable action sequences in robot-assisted autism therapy,"Social robots have been shown to be promising tools for delivering therapeutic tasks for children with Autism Spectrum Disorder (ASD). However, their efficacy is currently limited by a lack of flexibility of the robot’s social behavior to successfully meet therapeutic and interaction goals. Robot-assisted interventions are often based on structured tasks where the robot sequentially guides the child towards the task goal. Motivated by a need for personalization to accommodate a diverse set of children profiles, this paper investigates the effect of different robot action sequences in structured socially interactive tasks targeting attention skills in children with different ASD profiles. Based on an autism diagnostic tool, we devised a robotic prompting scheme on a NAO humanoid robot, aimed at eliciting goal behaviors from the child, and integrated it in a novel interactive storytelling scenario involving screens. We programmed the robot to operate in three different modes: diagnostic-inspired (Assess), personalized therapy-inspired (Therapy), and random (Explore). Our exploratory study with 11 young children with ASD highlights the usefulness and limitations of each mode according to different possible interaction goals, and paves the way towards more complex methods for balancing short-term and long-term goals in personalized robot-assisted therapy.",,,['no_author_name']
125,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:NWFKKQzSIN4C,"Zhen Zeng, William Watson, Nicole Cho, Saba Rahimi, Shayleen Reynolds, Tucker Balch, Manuela Veloso",flowmind: automatic workflow generation with llms," The rapidly evolving field of Robotic Process Automation (RPA) has made significant strides in automating repetitive processes, yet its effectiveness diminishes in scenarios requiring spontaneous or unpredictable tasks demanded by users. This paper introduces a novel approach, FlowMind, leveraging the capabilities of Large Language Models (LLMs) such as Generative Pretrained Transformer (GPT), to address this limitation and create an automatic workflow generation system. In FlowMind, we propose a generic prompt recipe for a lecture that helps ground LLM reasoning with reliable Application Programming Interfaces (APIs). With this, FlowMind not only mitigates the common issue of hallucinations in LLMs, but also eliminates direct interaction between LLMs and proprietary data or code, thus ensuring the integrity and confidentiality of information — a cornerstone in financial services. FlowMind further …",,,['no_author_name']
127,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:NnTm98qLMbgC,"Tekin Mericli, Manuela Veloso, Levent Akin",improving prehensile mobile manipulation performance through experience reuse,"During pick and place tasks, a mobile manipulator performs recurring relative moves within the close proximities of the object of interest and the destination independent of their global poses. These moves are usually critical to the success of the manipulation attempt and hence need to be executed delicately. Considering the critical yet recurring nature of these moves, we let the robot memorize them as state-action sequences and reuse them whenever possible to guide manipulation planning and execution. When combined with a sampling-based generative planner, this guidance helps reduce planning time by deliberately biasing the planning process towards the feasible sequences. Additionally, monitoring the execution while reiterating the reached sequences improves the task success rate. Our experiments show that this complementary combination of the already available partial plans and executions with …",,,['no_author_name']
128,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:Ns2bVKt8YxIC,"Stephanie Milani, Nicholay Topin, Manuela Veloso, Fei Fang",a survey of explainable reinforcement learning,"Explainable reinforcement learning (XRL) is an emerging subfield of explainable machine learning that has attracted considerable attention in recent years. The goal of XRL is to elucidate the decision-making process of learning agents in sequential decision-making settings. In this survey, we propose a novel taxonomy for organizing the XRL literature that prioritizes the RL setting. We overview techniques according to this taxonomy. We point out gaps in the literature, which we use to motivate and outline a roadmap for future work.",,,['no_author_name']
129,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:OkrdTXRNpVkC,"Pablo G Esteban, Daniel Hernández García, Hee Rin Lee, Pauline Chevalier, Paul Baxter, Cindy L Bethel, Jainendra Shukla, Joan Oliver, Domènec Puig, Jason R Wilson, Linda Tickle-Degnen, Madeleine Bartlett, Tony Belpaeme, Serge Thill, Kim Baraka, Francisco S Melo, Manuela Veloso, David Becerra, Maja Matarić, Eduard Fosch-Villaronga, Jordi Albo-Canals, Gloria Beraldo, Emanuele Menegatti, Valentina De Tommasi, Roberto Mancin, Franca Benini, Zachary Henkel, Kenna Baugus, David C May, Lucile Dupuy, Wendy A Rogers, Ronit Feingold Polak, Shelly Levy-Tzedek, Dagoberto Cruz-Sandoval, Jesus Favela, Michelle J Johnson, Mayumi Mohan, Rochelle Mendonca",proceedings of the workshop on social robots in therapy: focusing on autonomy and ethical challenges,"Robot-Assisted Therapy (RAT) has successfully been used in HRI research by including social robots in health-care interventions by virtue of their ability to engage human users both social and emotional dimensions. Research projects on this topic exist all over the globe in the USA, Europe, and Asia. All of these projects have the overall ambitious goal to increase the well-being of a vulnerable population. Typical work in RAT is performed using remote controlled robots; a technique called Wizard-of-Oz (WoZ). The robot is usually controlled, unbeknownst to the patient, by a human operator. However, WoZ has been demonstrated to not be a sustainable technique in the long-term. Providing the robots with autonomy (while remaining under the supervision of the therapist) has the potential to lighten the therapists burden, not only in the therapeutic session itself but also in longer-term diagnostic tasks. Therefore, there is a need for exploring several degrees of autonomy in social robots used in therapy. Increasing the autonomy of robots might also bring about a new set of challenges. In particular, there will be a need to answer new ethical questions regarding the use of robots with a vulnerable population, as well as a need to ensure ethically-compliant robot behaviours. Therefore, in this workshop we want to gather findings and explore which degree of autonomy might help to improve health-care interventions and how we can overcome the ethical challenges inherent to it.",,,['no_author_name']
130,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:OlbiQ0ttILcC,"Tiago Pereira, A Paulo GM Moreira, Manuela Veloso",multi-robot planning for perception of multiple regions of interest," In this paper we address the allocation of perception tasks among a set of multiple robots, for tasks such as inspection, surveillance, or search in structured environments. We consider a set of target regions of interest in a mapped environment that need to be sensed by any of the robots, and the problem is to find paths for the robots that cover all the target regions with minimal cost. We consider not only sensing range when determining paths for the robots to perceive the targets, but also a sensor cost function that can be adapted to each robot’s sensor. Thus the planning has to search for paths with minimal motion and perception cost, instead of the traditional approach where line-of-sight is the only requirement in a motion cost minimization problem. Our contribution is to use planning to determine possible perception positions for every robot, which we cluster and then use as possible waypoints that can be …",,,['no_author_name']
132,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:P7PM_jyRRcwC,"Saba Rahimi, Tucker Balch, Manuela Veloso",exploring the effectiveness of gpt models in test-taking: a case study of the driver's license knowledge test,"Large language models such as Open AI's Generative Pre-trained Transformer (GPT) models are proficient at answering questions, but their knowledge is confined to the information present in their training data. This limitation renders them ineffective when confronted with questions about recent developments or non-public documents. Our research proposes a method that enables GPT models to answer questions by employing context from an information source not previously included in their training data. The methodology includes preprocessing of contextual information, the embedding of contexts and queries, constructing prompt through the integration of context embeddings, and generating answers using GPT models. We applied this method in a controlled test scenario using the California Driver's Handbook as the information source. The GPT-3 model achieved a 96% passing score on a set of 50 sample driving knowledge test questions. In contrast, without context, the model's passing score fell to 82%. However, the model still fails to answer some questions correctly even with providing library of context, highlighting room for improvement. The research also examined the impact of prompt length and context format, on the model's performance. Overall, the study provides insights into the limitations and potential improvements for GPT models in question-answering tasks.",,,['no_author_name']
133,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:P_fFXc30I2UC,"Daniel Borrajo, Manuela Veloso",intelligent execution through plan analysis,"Intelligent robots need to generate and execute plans. In order to deal with the complexity of real environments, planning makes some assumptions about the world. When executing plans, the assumptions are usually not met. Most works have focused on the negative impact of this fact and the use of replanning after execution failures. Instead, we focus on the positive impact, or opportunities to find better plans. When planning, the proposed technique finds and stores those opportunities. Later, during execution, the monitoring system can use them to focus perception and repair the plan, instead of replanning from scratch. Experiments in several paradigmatic robotic tasks show how the approach outperforms standard replanning strategies.",,,['no_author_name']
134,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:Q9ss7R9eeXsC,"Zhen Zeng, Rachneet Kaur, Suchetha Siddagangappa, Tucker Balch, Manuela Veloso",from pixels to predictions: spectrogram and vision transformer for better time series forecasting," Time series forecasting plays a crucial role in decision-making across various domains, but it presents significant challenges. Recent studies have explored image-driven approaches using computer vision models to address these challenges, often employing lineplots as the visual representation of time series data. In this paper, we propose a novel approach that uses time-frequency spectrograms as the visual representation of time series data. We introduce the use of a vision transformer for multimodal learning, showcasing the advantages of our approach across diverse datasets from different domains. To evaluate its effectiveness, we compare our method against statistical baselines (EMA and ARIMA), a state-of-the-art deep learning-based approach (DeepAR), other visual representations of time series data (lineplot images), and an ablation study on using only the time series as input. Our experiments …",,,['no_author_name']
136,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:QI7uKX5mnFEC,"Danny Zhu, Manuela Veloso",visualizing robot behaviors as automated video annotations: a case study in robot soccer,"Autonomous mobile robots continuously perceive the world, plan or replan to achieve objectives, and execute the selected actions. Videos of autonomous robots are often naturally used to aid in replaying and demonstrating robot performance. However, plain videos contain no information about the ongoing internals of the robots. In this work, we contribute an approach to automate the overlay of visual annotations on videos of robots' execution to capture information underlying their reasoning. We concretely focus our presentation on the complex robot soccer domain, where the high speed of the robots' execution results from action planning for collaboration and response to the adversary.",,,['no_author_name']
137,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:QNfnWKgKwv8C,"Mohsen Ghassemi, Eleonora Kreačić, Niccolò Dalmasso, Vamsi K Potluru, Tucker Balch, Manuela Veloso",differentially private learning of hawkes processes,"Hawkes processes have recently gained increasing attention from the machine learning community for their versatility in modeling event sequence data. While they have a rich history going back decades, some of their properties, such as sample complexity for learning the parameters and releasing differentially private versions, are yet to be thoroughly analyzed. In this work, we study standard Hawkes processes with background intensity  and excitation function . We provide both non-private and differentially private estimators of  and , and obtain sample complexity results in both settings to quantify the cost of privacy. Our analysis exploits the strong mixing property of Hawkes processes and classical central limit theorem results for weakly dependent random variables. We validate our theoretical findings on both synthetic and real datasets.",,,['no_author_name']
138,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:QZWLLlSfqgYC,"Juan Pablo Mendoza, Reid Simmons, Manuela Veloso",detection and correction of subtle context-dependent robot model inaccuracies using parametric regions,"Autonomous robots frequently rely on models of their sensing and actions for intelligent decision making. Unfortunately, in complex environments, robots are bound to encounter situations in which their models do not accurately represent the world. Furthermore, these context-dependent model inaccuracies may be subtle, such that multiple observations may be necessary to distinguish them from noise. This paper formalizes the problem of detection and correction of such subtle contextual model inaccuracies in autonomous robots, and presents an algorithm to address this problem. The solution relies on reasoning about these contextual inaccuracies as parametric regions of inaccurate modeling (RIMs) in the robot’s planning space. Empirical results from various real robot domains demonstrate that, by explicitly searching for RIMs, robots are capable of efficiently detecting subtle contextual model inaccuracies …",,,['no_author_name']
139,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:Qh5Z_vBjo80C,"Joao Cartucho, Rodrigo Ventura, Manuela Veloso",robust object recognition through symbiotic deep learning in mobile robots,"Despite the recent success of state-of-the-art deep learning algorithms in object recognition, when these are deployed as-is on a mobile service robot, we observed that they failed to recognize many objects in real human environments. In this paper, we introduce a learning algorithm in which robots address this flaw by asking humans for help, also known as a symbiotic autonomy approach. In particular, we bootstrap YOLOv2, a state-of-the-art deep neural network and train a new neural network, that we call HHELP, using only data collected from human help. Using an RGB camera and an onboard tablet, the robot proactively seeks human input to assist it in labeling surrounding objects. Pepper, located at CMU, and Monarch Mbot, located at ISR-Lisbon, were the service robots that we used to validate the proposed approach. We conducted a study in a realistic domestic environment over the course of 20 days with …",,,['no_author_name']
140,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:QxlgOPrhsAcC,"Samuel A Assefa, Danial Dervovic, Mahmoud Mahfouz, Robert E Tillman, Prashant Reddy, Manuela Veloso","generating synthetic data in finance: opportunities, challenges and pitfalls","Financial services generate a huge volume of data that is extremely complex and varied. These datasets are often stored in silos within organisations for various reasons, including but not limited to regulatory requirements and business needs. As a result, data sharing within different lines of business as well as outside of the organisation (e.g. to the research community) is severely limited. It is therefore critical to investigate methods for synthesising financial datasets that follow the same properties of the real data while respecting the need for privacy of the parties involved. This introductory paper aims to highlight the growing need for effective synthetic data generation in the financial domain. We highlight three main areas of focus that are of particular importance while generating synthetic financial datasets: 1) Generating realistic synthetic datasets. 2) Measuring the similarities between real and generated datasets …",,,['no_author_name']
141,JPMorganChase,/citations?view_op=view_citation&hl=en&user=2FbkAzYAAAAJ&sortby=pubdate&citation_for_view=2FbkAzYAAAAJ:RVqaWcrwK10C,"Steven D Klee, Guglielmo Gemignani, Daniele Nardi, Manuela Veloso",multi-robot task acquisition through sparse coordination,"In this paper, we consider several autonomous robots with separate tasks that require coordination, but not a coupling at every decision step. We assume that each robot separately acquires its task, possibly from different providers. We address the problem of multiple robots incrementally acquiring tasks that require their sparse-coordination. To this end, we present an approach to provide tasks to multiple robots, represented as sequences, conditionals, and loops of sensing and actuation primitives. Our approach leverages principles from sparse-coordination to acquire and represent these joint-robot plans compactly. Specifically, each primitive has associated preconditions and effects, and robots can condition on the state of one another. Robots share their state externally using a common domain language. The complete sparse-coordination framework runs on several robots. We report on experiments carried out …",,,['no_author_name']
